iter	Passed	Remaining
392	25954	40088
393	26013	40010
394	26069	39928
395	26122	39843
396	26176	39758
397	26242	39694
398	26300	39616
399	26357	39536
400	26408	39447
401	26467	39372
402	26521	39288
403	26576	39206
404	26634	39129
405	26694	39055
406	26747	38971
407	26802	38890
408	26857	38808
409	26933	38758
410	27039	38750
411	27097	38672
412	27156	38597
413	27207	38510
414	27259	38426
415	27312	38343
416	27372	38269
417	27441	38208
418	27493	38124
419	27556	38054
420	27632	38003
421	27701	37941
422	27766	37875
423	27832	37810
424	27905	37754
425	27982	37703
426	28054	37646
427	28117	37577
428	28180	37507
429	28236	37429
430	28285	37342
431	28345	37269
432	28399	37187
433	28455	37110
434	28508	37028
435	28569	36956
436	28630	36885
437	28684	36805
438	28740	36727
439	28798	36652
440	28850	36569
441	28904	36489
442	28956	36408
443	29038	36362
444	29141	36345
445	29193	36262
446	29249	36185
447	29308	36112
448	29361	36031
449	29415	35951
450	29475	35879
451	29530	35802
452	29595	35737
453	29652	35661
454	29722	35601
455	29782	35529
456	29848	35465
457	29924	35412
458	30004	35365
459	30065	35293
460	30128	35226
461	30190	35156
462	30244	35078
463	30301	35003
464	30370	34942
465	30437	34878
466	30496	34806
467	30552	34730
468	30614	34661
469	30691	34609
470	30761	34549
471	30839	34498
472	30927	34458
473	31034	34439
474	31106	34381
475	31178	34322
476	31259	34273
477	31334	34218
478	31400	34154
479	31470	34092
480	31564	34057
481	31638	34001
482	31706	33938
483	31781	33882
484	31853	33823
485	31917	33755
486	31977	33684
487	32052	33628
488	32111	33556
489	32174	33488
490	32233	33415
491	32300	33351
492	32359	33278
493	32417	33205
494	32473	33129
495	32537	33061
496	32607	33000
497	32669	32931
498	32732	32863
499	32801	32801
500	32868	32736
501	32936	32673
502	33000	32606
503	33089	32563
504	33159	32503
505	33225	32437
506	33290	32371
507	33353	32303
508	33412	32230
509	33466	32154
510	33526	32083
511	33589	32014
512	33651	31945
513	33712	31876
514	33780	31812
515	33834	31736
516	33888	31659
517	33955	31595
518	34030	31538
519	34106	31483
520	34176	31421
521	34241	31355
522	34298	31281
523	34354	31207
524	34413	31135
525	34476	31068
526	34529	30991
527	34586	30918
528	34660	30859
529	34749	30815
530	34818	30753
531	34889	30692
532	34959	30630
533	35019	30560
534	35082	30492
535	35146	30424
536	35212	30360
537	35269	30287
538	35318	30207
539	35383	30141
540	35455	30081
541	35517	30013
542	35579	29944
543	35638	29873
544	35725	29825
545	35788	29758
546	35848	29688
547	35901	29612
548	35964	29544
549	36021	29471
550	36078	29399
551	36144	29334
552	36222	29279
553	36279	29207
554	36330	29130
555	36387	29057
556	36458	28996
557	36529	28935
558	36601	28875
559	36663	28807
560	36738	28749
561	36814	28691
562	36902	28643
563	36983	28590
564	37060	28533
565	37119	28462
566	37172	28387
567	37227	28313
568	37283	28240
569	37362	28185
570	37443	28131
571	37520	28074
572	37586	28009
573	37680	27964
574	37755	27906
575	37818	27838
576	37881	27770
577	37947	27705
578	38012	27639
579	38076	27572
580	38132	27500
581	38188	27427
582	38261	27367
583	38326	27300
584	38388	27232
585	38462	27172
586	38533	27111
587	38602	27047
588	38674	26986
589	38752	26929
590	38819	26865
591	38881	26796
592	38939	26725
593	38992	26651
594	39055	26584
595	39114	26513
596	39176	26445
597	39239	26378
598	39294	26305
599	39353	26235
600	39418	26169
601	39479	26100
602	39538	26030
603	39600	25962
604	39658	25892
605	39718	25823
606	39784	25758
607	39841	25687
608	39918	25629
609	40005	25577
610	40118	25541
611	40192	25481
612	40267	25421
613	40337	25358
614	40408	25296
615	40481	25235
616	40554	25173
617	40617	25106
618	40679	25038
619	40769	24987
620	40863	24939
621	40939	24879
622	40998	24809
623	41059	24740
624	41145	24687
625	41222	24627
626	41293	24565
627	41378	24510
628	41456	24451
629	41526	24388
630	41608	24332
631	41692	24276
632	41764	24213
633	41847	24157
634	41927	24099
635	41994	24034
636	42046	23960
637	42103	23889
638	42162	23819
639	42215	23746
640	42268	23672
641	42323	23600
642	42382	23530
643	42436	23458
644	42508	23395
645	42591	23339
646	42670	23280
647	42736	23214
648	42804	23149
649	42867	23082
650	42964	23033
651	43053	22979
652	43125	22916
653	43195	22852
654	43263	22787
655	43343	22728
656	43408	22662
657	43462	22589
658	43513	22516
659	43582	22451
660	43645	22383
661	43725	22325
662	43778	22252
663	43840	22184
664	43918	22124
665	43972	22052
666	44029	21981
667	44107	21921
668	44177	21857
669	44246	21793
670	44313	21727
671	44383	21663
672	44450	21597
673	44523	21534
674	44596	21472
675	44687	21418
676	44755	21353
677	44820	21286
678	44895	21224
679	44960	21158
680	45030	21093
681	45088	21023
682	45165	20962
683	45237	20899
684	45317	20839
685	45385	20774
686	45449	20707
687	45503	20635
688	45559	20564
689	45625	20498
690	45699	20435
691	45772	20372
692	45831	20303
693	45882	20230
694	45940	20161
695	46033	20106
696	46107	20043
697	46161	19972
698	46223	19904
699	46278	19833
700	46336	19764
701	46390	19692
702	46443	19621
703	46497	19549
704	46557	19481
705	46618	19413
706	46679	19345
707	46738	19276
708	46804	19210
709	46868	19143
710	46925	19073
711	46982	19004
712	47034	18932
713	47097	18865
714	47153	18795
715	47209	18725
716	47262	18654
717	47321	18585
718	47393	18522
719	47459	18456
720	47526	18390
721	47610	18332
722	47672	18264
723	47745	18201
724	47802	18131
725	47868	18066
726	47944	18004
727	48055	17954
728	48128	17891
729	48191	17824
730	48252	17756
731	48322	17691
732	48388	17625
733	48452	17559
734	48529	17497
735	48592	17429
736	48665	17366
737	48720	17296
738	48783	17229
739	48848	17162
740	48918	17098
741	48988	17033
742	49053	16967
743	49118	16900
744	49193	16837
745	49264	16773
746	49332	16708
747	49391	16640
748	49451	16571
749	49512	16504
750	49577	16437
751	49640	16370
752	49700	16302
753	49764	16236
754	49822	16167
755	49877	16098
756	49938	16030
757	50027	15971
758	50094	15906
759	50156	15838
760	50208	15768
761	50262	15698
762	50317	15629
763	50382	15563
764	50440	15494
765	50511	15430
766	50604	15372
767	50678	15309
768	50737	15240
769	50793	15172
770	50858	15105
771	50925	15040
772	50992	14974
773	51053	14907
774	51119	14841
775	51188	14776
776	51256	14710
777	51324	14645
778	51388	14578
779	51453	14512
780	51522	14447
781	51591	14382
782	51652	14314
783	51725	14250
784	51796	14186
785	51858	14119
786	51916	14051
787	51972	13982
788	52036	13915
789	52108	13851
790	52171	13784
791	52226	13715
792	52285	13648
793	52344	13580
794	52400	13512
795	52457	13443
796	52516	13376
797	52576	13308
798	52651	13245
799	52734	13183
800	52804	13118
801	52860	13050
802	52921	12983
803	52984	12916
804	53062	12853
805	53135	12789
806	53207	12724
807	53267	12657
808	53326	12590
809	53386	12522
810	53443	12454
811	53496	12385
812	53555	12318
813	53611	12250
814	53680	12185
815	53751	12120
816	53814	12053
817	53882	11988
818	53947	11922
819	54002	11854
820	54056	11785
821	54123	11720
822	54218	11660
823	54285	11594
824	54341	11527
825	54396	11458
826	54454	11391
827	54518	11325
828	54574	11257
829	54641	11191
830	54698	11123
831	54757	11056
832	54813	10989
833	54868	10921
834	54923	10853
835	54982	10786
836	55040	10718
837	55099	10651
838	55156	10584
839	55211	10516
840	55266	10448
841	55320	10380
842	55381	10314
843	55443	10247
844	55497	10179
845	55550	10112
846	55605	10044
847	55661	9977
848	55720	9910
849	55776	9842
850	55833	9775
851	55890	9708
852	55947	9641
853	56001	9573
854	56056	9506
855	56111	9439
856	56173	9373
857	56230	9306
858	56290	9239
859	56360	9175
860	56423	9109
861	56475	9041
862	56530	8974
863	56595	8908
864	56655	8842
865	56715	8775
866	56776	8709
867	56830	8642
868	56887	8575
869	56937	8507
870	56993	8441
871	57050	8374
872	57103	8307
873	57156	8239
874	57211	8173
875	57267	8106
876	57320	8039
877	57376	7972
878	57429	7905
879	57487	7839
880	57546	7773
881	57600	7706
882	57657	7639
883	57716	7573
884	57774	7507
885	57835	7441
886	57897	7375
887	57976	7312
888	58055	7248
889	58127	7184
890	58190	7118
891	58248	7052
892	58309	6986
893	58368	6920
894	58430	6854
895	58507	6791
896	58588	6727
897	58657	6662
898	58720	6597
899	58783	6531
900	58843	6465
901	58916	6401
902	58992	6336
903	59067	6272
904	59133	6207
905	59192	6141
906	59263	6076
907	59347	6013
908	59427	5949
909	59487	5883
910	59555	5818
911	59615	5752
912	59674	5686
913	59747	5621
914	59823	5557
915	59894	5492
916	59958	5427
917	60032	5362
918	60106	5297
919	60190	5233
920	60262	5169
921	60326	5103
922	60385	5037
923	60444	4971
924	60503	4905
925	60565	4839
926	60630	4774
927	60691	4708
928	60756	4643
929	60825	4578
930	60882	4512
931	60949	4446
932	61024	4382
933	61104	4317
934	61176	4252
935	61240	4187
936	61299	4121
937	61358	4055
938	61423	3990
939	61492	3925
940	61565	3860
941	61633	3794
942	61699	3729
943	61772	3664
944	61836	3598
945	61896	3533
946	61964	3467
947	62020	3401
948	62078	3336
949	62154	3271
950	62230	3206
951	62297	3141
952	62363	3075
953	62424	3009
954	62484	2944
955	62541	2878
956	62601	2812
957	62658	2747
958	62723	2681
959	62785	2616
960	62847	2550
961	62908	2484
962	62966	2419
963	63026	2353
964	63086	2288
965	63144	2222
966	63207	2157
967	63272	2091
968	63342	2026
969	63410	1961
970	63471	1895
971	63531	1830
972	63591	1764
973	63647	1699
974	63702	1633
975	63757	1567
976	63812	1502
977	63870	1436
978	63928	1371
979	63987	1305
980	64060	1240
981	64133	1175
982	64188	1110
983	64248	1044
984	64302	979
985	64369	913
986	64441	848
987	64509	783
988	64567	718
989	64623	652
990	64700	587
991	64757	522
992	64815	456
993	64875	391
994	64931	326
995	64992	261
996	65054	195
997	65119	130
998	65183	65
999	65253	0
